Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/23, 03:35:00, 2086.50, 2087.00, 2085.25, 2086.25, 2510, 1421, 1213, 1297
2016/6/23, 03:40:00, 2086.25, 2087.00, 2086.25, 2086.75, 1272, 732, 601, 671
2016/6/23, 03:45:00, 2087.00, 2087.00, 2085.25, 2085.50, 1884, 1039, 1070, 814
2016/6/23, 03:50:00, 2085.50, 2086.00, 2084.50, 2086.00, 3450, 1689, 1794, 1656
2016/6/23, 03:55:00, 2085.75, 2086.25, 2085.50, 2085.75, 1570, 822, 798, 772
2016/6/23, 04:00:00, 2085.50, 2086.75, 2085.50, 2086.75, 1489, 875, 697, 792
2016/6/23, 04:05:00, 2086.50, 2087.25, 2086.50, 2087.00, 1483, 789, 620, 863
2016/6/23, 04:10:00, 2087.00, 2087.50, 2086.75, 2086.75, 1458, 808, 751, 707
2016/6/23, 04:15:00, 2086.75, 2087.75, 2086.75, 2087.50, 983, 524, 447, 536
2016/6/23, 04:20:00, 2087.50, 2089.00, 2087.50, 2088.25, 2591, 1329, 1196, 1395
2016/6/23, 04:25:00, 2088.25, 2088.50, 2087.50, 2088.50, 2031, 1068, 1024, 1007
2016/6/23, 04:30:00, 2088.50, 2089.25, 2088.25, 2089.25, 2322, 1111, 1116, 1206
2016/6/23, 04:35:00, 2089.00, 2089.25, 2088.75, 2089.00, 2291, 1005, 1120, 1171
